店舗名,店舗住所,業種
かね㐂回転寿司 つくば梅園店 ,つくば市 稲荷前13-7,飲食 / ファーストフード
燦食 かつや 茨城つくば店,つくば市 下広岡1055-504,飲食 / ファーストフード
かね㐂回転寿司 つくば桜店 ,つくば市 桜1-23-7,飲食 / ファーストフード
Sakhana 地中海のごはんとおやつ Sakhana,つくば市 上郷 2761-3,飲食 / ファーストフード
あずきや工房 ,つくば市 大曽根 2999-1,飲食 / ファーストフード
eco mart YOU'sUP ,つくば市 二の宮 1丁目2番地2,飲食 / ファーストフード
ピザーラ つくば中央店,つくば市天久保 1-12-22,飲食 / ファーストフード
フレスタプラス@あらの珈琲 フレスタプラスあらの珈琲,つくば市 4丁目4−2 並木ショッピングセンター105,飲食 / 飲食店・喫茶店
金の馬結 台湾めしと四川麻婆豆腐の専門店 金の馬結,つくば市 つくば市 天久保2-15-7 金の馬結,飲食 / 飲食店・喫茶店
Cafe&Bar TIMELESS ,つくば市 みどりの中央 11-3,飲食 / 飲食店・喫茶店
DoDo みどりの店,つくば市 みどりの中央 11-3 ウイングマルシェ・みどりの104,飲食 / 飲食店・喫茶店
コーギーバンズバーガー ,つくば市 みどりの中央11ー3 ウィングマルシェみどりの207,飲食 / 飲食店・喫茶店
北京老飯店 みどりの店,つくば市 みどりの中央11-3 ウィングマルシェ・みどりの104,飲食 / 飲食店・喫茶店
クレシータ クレシータ,つくば市 みどりの中央29-5,飲食 / 飲食店・喫茶店
ジャパンウェルネス 国総研売店,つくば市 旭1番地 国土交通省国土技術政策総合研究所内売店 ジャパンウェルネス(株),飲食 / 飲食店・喫茶店
チムニー チムニーギオット稲荷前店,つくば市 稲荷前 27-2,飲食 / 飲食店・喫茶店
レストラン ミルフルール ,つくば市 栗原 3893-2,飲食 / 飲食店・喫茶店
焼菓子の店ハシバミ 焼き菓子の店 ハシバミ,つくば市 小野崎 591-1,飲食 / 飲食店・喫茶店
パンさんの店 テイクアウト専門店 パンさんの店,つくば市 松代2-1-7,飲食 / 飲食店・喫茶店
麺房 あんよん ,つくば市 榎戸 438番地31,飲食 / 飲食店・喫茶店
豚男爵 ,つくば市 遠東 1371-1,飲食 / 飲食店・喫茶店
創作中華 えん弥 東光台店,つくば市 遠東541-4,飲食 / 飲食店・喫茶店
中国料理 珍楽飯店 ,つくば市 下横場 425-31,飲食 / 飲食店・喫茶店
つけ麺吉衛門 梅園店,つくば市 下原 380-5,飲食 / 飲食店・喫茶店
煮込み食堂まるしば ,つくば市 下広岡 1040-6,飲食 / 飲食店・喫茶店
貴義 ,つくば市 下広岡 1040-7 ジョイプラザ広岡1号,飲食 / 飲食店・喫茶店
霜降牛ステーキ千 霜降牛ステーキ千,つくば市 下広岡 1055-11 霜降牛ステーキ千,飲食 / 飲食店・喫茶店
麺場田所商店 つくばささぎ店,つくば市 下広岡 1055-160,飲食 / 飲食店・喫茶店
Groovy つくば東大通り店,つくば市 下広岡1055-684,飲食 / 飲食店・喫茶店
筑波ハム 筑波ハム,つくば市 下平塚 383,飲食 / 飲食店・喫茶店
ワインバールフラン ルフラン,つくば市 下平塚834,飲食 / 飲食店・喫茶店
酒処さかえ 酒処 さかえ,つくば市 花室 1225-1,飲食 / 飲食店・喫茶店
カフェ・アンプルール カフェ・アンプルール,つくば市 花室 981-2 丸紅Do Stationビル,飲食 / 飲食店・喫茶店
Obbligazioni obbligazioni,つくば市 花室1612-1,飲食 / 飲食店・喫茶店
カフェ やさしい時間 カフェやさしい時間,つくば市 花畑 2-12-2 第4つくば101号室,飲食 / 飲食店・喫茶店
台湾料理 珍味軒 珍味軒,つくば市 花畑 2丁目 12-5,飲食 / 飲食店・喫茶店
欧風レストランカフェシャンドゥフルール ,つくば市 花畑2ー7ー16,飲食 / 飲食店・喫茶店
麺匠伊助 麺匠 伊助,つくば市 学園の森 2-1,飲食 / 飲食店・喫茶店
会津蕎麦匠 ひなたや ,つくば市 学園の森 2丁目16−1,飲食 / 飲食店・喫茶店
MEIGNER MEIGNER,つくば市 学園の森 3-44-3 TOCO Cherry A号室,飲食 / 飲食店・喫茶店
りょうたの手羽先 学園の森店,つくば市 学園の森2-1,飲食 / 飲食店・喫茶店
HARE GOHAN HARE GOHAN,つくば市 学園の森3ー21ー1 Mee Toco B-2,飲食 / 飲食店・喫茶店
備長 西大通り店,つくば市 館野 40-1,飲食 / 飲食店・喫茶店
キッチンカフェK&K キッチンカフェK&K,つくば市 館野 5-1,飲食 / 飲食店・喫茶店
炭火焼肉ホルモンの店肉八や ,つくば市 館野 5-1,飲食 / 飲食店・喫茶店
YAKINIKU CAFE 298 イートイン,つくば市 館野 9-1,飲食 / 飲食店・喫茶店
ふくろうの家 ふくろうの家,つくば市 館野459-2,飲食 / 飲食店・喫茶店
居酒屋とんとん ,つくば市 吉沼 1108-2,飲食 / 飲食店・喫茶店
プラネタリウム焼肉72&BarB ,つくば市 吉瀬 1734-1,飲食 / 飲食店・喫茶店
ナチュカフェ ナチュカフェ本店,つくば市 吉瀬 533-1,飲食 / 飲食店・喫茶店
味処 くら ,つくば市 境田 180-18,飲食 / 飲食店・喫茶店
とろり天使のわらびもち つくば店,つくば市 金田 38番地1,飲食 / 飲食店・喫茶店
遊食伊太利庵 藤右ェ門 栄 遊食伊太利庵 藤右ェ門 栄,つくば市 金田 38番地1,飲食 / 飲食店・喫茶店
Chapio Coffee Brewers ChapioCoffeeBrewers,つくば市 金田 901,飲食 / 飲食店・喫茶店
栗原醸造所 ,つくば市 栗原 2944-1,飲食 / 飲食店・喫茶店
アグーしゃぶしゃぶ みるく つくば店 ,つくば市 栗原 3839-3,飲食 / 飲食店・喫茶店
創作中華 えん弥 研究学園店,つくば市 研究学園 1-2-15 AJ-HILLS2F,飲食 / 飲食店・喫茶店
赤牛 つくば本店,つくば市 研究学園 1-3-3,飲食 / 飲食店・喫茶店
City Harbar ,つくば市 研究学園 1-3-4,飲食 / 飲食店・喫茶店
ザ・餃子亭居酒屋 研究学園店,つくば市 研究学園 1-3-4,飲食 / 飲食店・喫茶店
ごじゃっぺ ごじゃっぺ,つくば市 研究学園 4-2-14,飲食 / 飲食店・喫茶店
本格中華薬膳火鍋MINAMOTO ,つくば市 研究学園 4-2-14 EBISUTOWN A201,飲食 / 飲食店・喫茶店
肉の寿司 一縁 肉の寿司 一縁,つくば市 研究学園 4-2-14 EBISUTOWND201,飲食 / 飲食店・喫茶店
ほまれ菜食堂 ほまれ菜食堂,つくば市 研究学園 4-2-14 エビスタウンA202,飲食 / 飲食店・喫茶店
二代目 寿し松 ,つくば市 研究学園 4-2-14 エビスタウンB101,飲食 / 飲食店・喫茶店
一喜 つくば店,つくば市 研究学園 4-4-11,飲食 / 飲食店・喫茶店
焼肉えびす ,つくば市 研究学園 4丁目 2-14 エビスタウンA102,飲食 / 飲食店・喫茶店
トラットリア ルッソ ,つくば市 研究学園 5-14-10,飲食 / 飲食店・喫茶店
ステーキダイニング 星ざき ,つくば市 研究学園 5-14-3 リベルタビル2F,飲食 / 飲食店・喫茶店
牛タン和助 研究学園店,つくば市 研究学園 5-15-2,飲食 / 飲食店・喫茶店
喫茶・軽食 ルーブル ,つくば市 研究学園 5-1-7,飲食 / 飲食店・喫茶店
麒麟倶楽部 麒麟倶楽部,つくば市 研究学園 5-2-2 TOCOビル202,飲食 / 飲食店・喫茶店
アオイ あばしり屋丼丸 研究学園店,つくば市 研究学園 5-2-7 OSテナント102 OSテナント,飲食 / 飲食店・喫茶店
なにものや ,つくば市 研究学園 5-5-3 Bellevill1F,飲食 / 飲食店・喫茶店
キッチン.XXX ,つくば市 研究学園 5-6-6 D12-208,飲食 / 飲食店・喫茶店
レッチリ つくば研究学園店,つくば市 研究学園 5-8-3,飲食 / 飲食店・喫茶店
お菜屋 わだ家 お菜屋 わだ家 つくば店,つくば市 研究学園 5-8-4 ホテルベストランド1階,飲食 / 飲食店・喫茶店
La Porta La Porta(ラ ポルタ),つくば市 研究学園 5-8-4 ホテルベストランド1階,飲食 / 飲食店・喫茶店
ティムックム ティムックム,つくば市 研究学園 5丁目5-3,飲食 / 飲食店・喫茶店
福鮨 福鮨 つくば店,つくば市 研究学園 5丁目8番地の4 ホテルベトランド2F,飲食 / 飲食店・喫茶店
アイニーズ ,つくば市 研究学園 7-43-3 ピュアグレイン1F,飲食 / 飲食店・喫茶店
然の膳 zeffee  つくば市役所店,つくば市 研究学園1-1-1,飲食 / 飲食店・喫茶店
薬膳カフェZeffee つくば市役所店 薬膳カフェZeffee つくば市役所店,つくば市 研究学園1-1-1 つくば市役所内1F,飲食 / 飲食店・喫茶店
cityharbor洋食&BAR cityharbor洋食&BAR,つくば市 研究学園1-3-4,飲食 / 飲食店・喫茶店
家族レストラン坂東太郎 研究学園総本店,つくば市 研究学園3-2,飲食 / 飲食店・喫茶店
Groovy つくば研究学園店,つくば市 研究学園3-23-4,飲食 / 飲食店・喫茶店
牛たん欅 牛たん けやき つくば店,つくば市 研究学園4-2-12,飲食 / 飲食店・喫茶店
寿し松 二代目寿し松,つくば市 研究学園4-2-14 エビスタウンB-101,飲食 / 飲食店・喫茶店
タンとハラミとホルモンの店 タンとハラミとホルモンの店,つくば市 研究学園4ー2ー14 エビスタウン1F,飲食 / 飲食店・喫茶店
しゃぶしゃぶどん亭 つくば研究学園店,つくば市 研究学園4丁目2番地10,飲食 / 飲食店・喫茶店
赤から つくば研究学園,つくば市 研究学園5-15-6,飲食 / 飲食店・喫茶店
北京老飯店 本店,つくば市 研究学園5丁目13番地8 アドヴァンスつくばテナント101,飲食 / 飲食店・喫茶店
居酒屋 壽家 居酒屋 壽家,つくば市 研究学園5丁目15-2 グレーシア101号,飲食 / 飲食店・喫茶店
徳樹庵 徳樹庵つくば研究学園店,つくば市 研究学園7-44-21,飲食 / 飲食店・喫茶店
Cafe & Dining La Luce (ラ・ルーチェ) ラルーチェ,つくば市 古来 1420-1,飲食 / 飲食店・喫茶店
Beer & Cafe Engi Beer&Cafe  Engi,つくば市 吾妻 1-10-1 つくばセンタービル1F,飲食 / 飲食店・喫茶店
アオイ ザンギ亭キュート店,つくば市 吾妻 1-16-1 1Fフードコート キュートモール,飲食 / 飲食店・喫茶店
三浦飲食堂 ,つくば市 吾妻 1-5-1 財団事務所ビル2F,飲食 / 飲食店・喫茶店
ネネチキン&ジョンノハットグ トナリエキュートつくば店,つくば市 吾妻 1-6-1 トナリエキュート1階 フードコート内,飲食 / 飲食店・喫茶店
石挽蕎麦 一 成 つくば蕎麦物語 一成,つくば市 吾妻 1-8-10 BiViつくば2階,飲食 / 飲食店・喫茶店
本格インド料理サイノ トナリエキュート,つくば市 吾妻 1丁目6番1号,飲食 / 飲食店・喫茶店
La Tavernetta MURAKAMI ,つくば市 吾妻 3-12-1,飲食 / 飲食店・喫茶店
Daar Ji - Indian Sweets & Restaurant ダールジーインド料理,つくば市 吾妻 3-13-9 Suzuki Building 2F,飲食 / 飲食店・喫茶店
LAID BACK BURGER LAID BACK BURGER,つくば市 吾妻 3-7-15 パレス柴原-I 103,飲食 / 飲食店・喫茶店
松見亭 ,つくば市 吾妻 3丁目 7-13,飲食 / 飲食店・喫茶店
TRANGちゃん TRANGちゃん,つくば市 吾妻 3丁目8-1 吾妻ハイツ102,飲食 / 飲食店・喫茶店
Beer&CafeEngi Beer&CafeEngi,つくば市 吾妻1-10-1 つくばセンタービル一階,飲食 / 飲食店・喫茶店
つくば山水亭別亭 ホテル日航本館2階,つくば市 吾妻1-1364-1 ホテル日航つくば本館2F,飲食 / 飲食店・喫茶店
塚田農場 塚田農場 つくば,つくば市 吾妻1-5-3つくばクレオスクエアMOG 3階,飲食 / 飲食店・喫茶店
蓮屋 権左衛門 ,つくば市 吾妻1-5-7 ダイワロイネットホテル つくば 1F,飲食 / 飲食店・喫茶店
Cafe Apartment Cafe Apartment TSUKUBA,つくば市 吾妻1-7-5,飲食 / 飲食店・喫茶店
サザコーヒー つくば駅前店,つくば市 吾妻1-8-10 Biviつくば 1階,飲食 / 飲食店・喫茶店
串かつ でんがな BiViつくば店,つくば市 吾妻1-8-10 BiViつくば3階,飲食 / 飲食店・喫茶店
BBQ BBQ DAYS トナリエクレオつくば店【LH F】,つくば市 吾妻1丁目7−1 トナリエクレオつくば屋上,飲食 / 飲食店・喫茶店
コーヒーファクトリー コーヒーファクトリー スタートアップカフェ,つくば市 吾妻2-5-1 つくば市産業振興センター,飲食 / 飲食店・喫茶店
ほしまるカフェ ほしまるカフェ,つくば市 吾妻2-9 エキスポセンター,飲食 / 飲食店・喫茶店
morris morris,つくば市 吾妻3-16-7 野上ビル1A号室,飲食 / 飲食店・喫茶店
香色茶坊 香色茶坊,つくば市 吾妻3-8-10,飲食 / 飲食店・喫茶店
ラーメン龍郎 ラーメン龍郎,つくば市 吾妻3丁目 8-1,飲食 / 飲食店・喫茶店
とんかつ丸三 ,つくば市 高見原 1-5-52,飲食 / 飲食店・喫茶店
カフェ&レストラン バスティーユ ,つくば市 高見原 2-10-82,飲食 / 飲食店・喫茶店
でれすけ ,つくば市 高見原 5-1-28 みちのくビル4階,飲食 / 飲食店・喫茶店
HAPPY sawadee,つくば市 高見原1-5-132 圓山ビル1F,飲食 / 飲食店・喫茶店
手打ちそば梁 手打ちそば梁,つくば市 高野 387番地3号,飲食 / 飲食店・喫茶店
居酒屋姉妹 ,つくば市 高野 577-3,飲食 / 飲食店・喫茶店
カフェ紫龍 ,つくば市 高野台 2丁目3番地9,飲食 / 飲食店・喫茶店
ロダン ,つくば市 高野台 3-15-35,飲食 / 飲食店・喫茶店
とむとむ COFFEE HOUSE つくば店,つくば市 高野台2-9-8,飲食 / 飲食店・喫茶店
COFFEEHOUSE とむとむ COFFEEHOUSE とむとむ つくば店,つくば市 高野台2-9-8,飲食 / 飲食店・喫茶店
めし処はらへった ,つくば市 今鹿島 4010-6,飲食 / 飲食店・喫茶店
EGO kitchen EGO kitchen,つくば市 細見892-1,飲食 / 飲食店・喫茶店
麺や 小五郎 麺や 小五郎,つくば市 桜 1-12-1,飲食 / 飲食店・喫茶店
アイマン 桜店,つくば市 桜 2-14-10,飲食 / 飲食店・喫茶店
悪魔手羽先 筑波店,つくば市 桜 2-15-3 中山ビル103,飲食 / 飲食店・喫茶店
博多拉麺 一休 博多拉麺 一休,つくば市 桜 2-1-7,飲食 / 飲食店・喫茶店
TK kitchen te.to.te 373BAR(TK kitchen),つくば市 桜 2-1-7 グランパスつくば102,飲食 / 飲食店・喫茶店
ホワイト・バジル ,つくば市 桜 2-51-5,飲食 / 飲食店・喫茶店
からあげ専門店たまちゃん からあげ専門店たまちゃん,つくば市 桜 3-10-1 片岡テナント,飲食 / 飲食店・喫茶店
M.S.B M.S.B hamburger & sandwich,つくば市 桜 3-8-4 アグレアーブル1F,飲食 / 飲食店・喫茶店
創作中華 えん弥 桜店,つくば市 桜1-13-7,飲食 / 飲食店・喫茶店
野菜肉巻き串 串焼 MIKAN(ミカン) 野菜肉巻き串 串焼 MIKAN(ミカン),つくば市 桜2-15-3,飲食 / 飲食店・喫茶店
合同会社 Rainn からあげ専門店 鶏笑 桜店,つくば市 桜2-15-3,飲食 / 飲食店・喫茶店
DoDo 筑波店,つくば市 桜2-15-3 中山ビル103,飲食 / 飲食店・喫茶店
フランス菓子アルル フランス菓子アルル,つくば市 桜3-1-8 フランス菓子アルル,飲食 / 飲食店・喫茶店
モーカフェ ,つくば市 山中 480-38,飲食 / 飲食店・喫茶店
食彩工房PALETTE.. ,つくば市 市之台 120-8,飲食 / 飲食店・喫茶店
粉雪屋 粉雪屋,つくば市 篠崎2129-9,飲食 / 飲食店・喫茶店
アヤカリ亭 アヤカリ亭,つくば市 柴崎 1050-1,飲食 / 飲食店・喫茶店
つくば牡丹園 つくば牡丹園,つくば市 若栗500,飲食 / 飲食店・喫茶店
田舎の台所 零壱 ,つくば市 手子生 1061-1,飲食 / 飲食店・喫茶店
DROOL DINER ドロールダイナー,つくば市 手子生 924−7,飲食 / 飲食店・喫茶店
コルヌ コピア コルヌコピア,つくば市 手代木 2005-3,飲食 / 飲食店・喫茶店
AMICI PIZZERIA AMICI,つくば市 手代木 261-10,飲食 / 飲食店・喫茶店
AMICI TRATTORIA E PIZZERIA AMICI,つくば市 手代木 286-1,飲食 / 飲食店・喫茶店
ブラックボード つくば店,つくば市 手代木 291-3,飲食 / 飲食店・喫茶店
やきにく穏和 つくば学園店,つくば市 手代木 716番地1,飲食 / 飲食店・喫茶店
ナチュカフェ ナチュカフェなないろ,つくば市 手代木字東向1893-1,飲食 / 飲食店・喫茶店
ビーロク ,つくば市 春日 2-33-22,飲食 / 飲食店・喫茶店
Cruise ,つくば市 春日 3-1-7 1階,飲食 / 飲食店・喫茶店
より味ち より味ち,つくば市 春日 4-15-19,飲食 / 飲食店・喫茶店
Cruise(クルーズ) Cruise(クルーズ),つくば市 春日3-1-7 1F,飲食 / 飲食店・喫茶店
ジェイ・エス・ビー・フードサービス 学生会館 Uni E’meal つくば春日,つくば市 春日4丁目5-7,飲食 / 飲食店・喫茶店
萬年喜鮨 萬年喜鮨,つくば市 小野崎 1360番地,飲食 / 飲食店・喫茶店
ソウル家 ソウル家,つくば市 小野崎 1736番地2,飲食 / 飲食店・喫茶店
アオイ 天下一品つくば店,つくば市 小野崎 281-1,飲食 / 飲食店・喫茶店
平城苑 焼肉 平城苑 つくば学園店,つくば市 小野崎 283-1,飲食 / 飲食店・喫茶店
焼肉竃 焼肉 竈,つくば市 小野崎 303-13,飲食 / 飲食店・喫茶店
リストランテ LA CICCIA ,つくば市 小野崎 433-1,飲食 / 飲食店・喫茶店
NAMICHIDORI茶房 NAMICHIDORI茶房,つくば市 小野崎 437-1,飲食 / 飲食店・喫茶店
棕櫚 棕櫚,つくば市 小野崎 956-1,飲食 / 飲食店・喫茶店
李厨房 小野崎店,つくば市 小野崎308-15 李厨房小野崎店,飲食 / 飲食店・喫茶店
天龍本店 天龍本店 学園店,つくば市 小野崎88-21,飲食 / 飲食店・喫茶店
8代葵カフェ つくば学園店 ,つくば市 小野崎字稲荷山581-1,飲食 / 飲食店・喫茶店
Mount Tsukuba Shop BASE877 ,つくば市 松代 2-10-3 1F-C,飲食 / 飲食店・喫茶店
POTATO′S CAFE craftfries ,つくば市 松代 2-7-1 パークサイドマリッチ103,飲食 / 飲食店・喫茶店
Café M Cafe M,つくば市 松代 2-7-2 瀬尾ビル104,飲食 / 飲食店・喫茶店
パンさんの店 パンさんの店,つくば市 松代 2丁目1-7,飲食 / 飲食店・喫茶店
MATSUSHIRO BURGER and CAFE ,つくば市 松代 4-200-1 松代ショッピングセンター構内,飲食 / 飲食店・喫茶店
LUCY CAFE ,つくば市 松代 5丁目14番地1,飲食 / 飲食店・喫茶店
焼肉きんぐ 焼肉きんぐつくば店,つくば市 松代1-1-1,飲食 / 飲食店・喫茶店
SAKURA cafe SAKURA cafe,つくば市 松代4-19-1 松代ショッピングセンター,飲食 / 飲食店・喫茶店
ビストロ・シェ・レノン ビストロ・シェ・レノン,つくば市 松野木 100-11,飲食 / 飲食店・喫茶店
韓国料理 済州 韓国家庭料理 濟州,つくば市 松野木 176-6,飲食 / 飲食店・喫茶店
旬果菓子つくばsweets 旬果菓子つくばsweets,つくば市 松野木99-6,飲食 / 飲食店・喫茶店
ロッティカフェ lotti cafe,つくば市 上ノ室 2168-1,飲食 / 飲食店・喫茶店
ゆーりえっとつくば ゆーりえっとつくば,つくば市 上ノ室2042-1,飲食 / 飲食店・喫茶店
自然薯料理福々亭 ,つくば市 上横場 1979番地1,飲食 / 飲食店・喫茶店
キッチンJUJU ,つくば市 上横場 2286-1,飲食 / 飲食店・喫茶店
とおるの台所 ,つくば市 上横場 2287-1,飲食 / 飲食店・喫茶店
レストラン アダージョ レストランアダージョ,つくば市 上横場 436番地7,飲食 / 飲食店・喫茶店
壱番亭 壱番亭つくば店,つくば市 上横場2162-4,飲食 / 飲食店・喫茶店
おおきや おおきや,つくば市 上横場2365-8,飲食 / 飲食店・喫茶店
ばんどう太郎 みどりの店 ,つくば市 上萱丸343-1,飲食 / 飲食店・喫茶店
ALL RIGHT COFFEE ALL RIGHT COFFEE,つくば市 上岩崎 782,飲食 / 飲食店・喫茶店
Casa Nova 桜店 ,つくば市 上境 295-3,飲食 / 飲食店・喫茶店
エマズハウス ,つくば市 上郷 1640,飲食 / 飲食店・喫茶店
どんぐり ,つくば市 上郷 1713-1,飲食 / 飲食店・喫茶店
鮨処 ひろせ 鮨処ひろせ,つくば市 上郷 6860,飲食 / 飲食店・喫茶店
坂東太郎 つくば店 ,つくば市 上郷1091-4,飲食 / 飲食店・喫茶店
アフリカの家庭料理シダモ アフリカの家庭料理シダモ,つくば市 上野 613-5,飲食 / 飲食店・喫茶店
cafe PINON cafe PINON,つくば市 水守 971,飲食 / 飲食店・喫茶店
ガトー・プーリア ガトー・プーリア,つくば市 水堀587-54,飲食 / 飲食店・喫茶店
石臼挽き自家製粉純手打ちそばきむら ,つくば市 西岡 418-276,飲食 / 飲食店・喫茶店
肉匠坂井 つくば研究学園店,つくば市 西岡 419-1,飲食 / 飲食店・喫茶店
すぎのや本陣 牛久インター店,つくば市 西大井宇池向1693-3,飲食 / 飲食店・喫茶店
ビストロ 花まさ 本店,つくば市 西大橋 197-5,飲食 / 飲食店・喫茶店
ビストロ花まさ大人のカフェ ,つくば市 西大橋 197-5,飲食 / 飲食店・喫茶店
こだわりらーめん ゆきむら亭 つくば店,つくば市 西大橋字前田 735-1,飲食 / 飲食店・喫茶店
やまびこ弁天 手打ちうどん やまびこ弁天,つくば市 西大沼 128-4,飲食 / 飲食店・喫茶店
こだわりらーめん ゆきむら亭 つくば西店,つくば市 西平塚331-10,飲食 / 飲食店・喫茶店
かつ太郎本店 つくば学園店 ,つくば市 西平塚331-7,飲食 / 飲食店・喫茶店
フライングガーデン フライングガーデン つくば西平塚店,つくば市 西平塚332-1,飲食 / 飲食店・喫茶店
ばんどう太郎 つくば学園店 ,つくば市 西平塚字梨の木331-7,飲食 / 飲食店・喫茶店
焼肉珍味亭 ,つくば市 赤塚 4-1,飲食 / 飲食店・喫茶店
串焼 ターザン ,つくば市 赤塚 502-57 ハーマナイズ21赤塚101,飲食 / 飲食店・喫茶店
チーズスイーツ工房 WITH CHEESE つくば店,つくば市 赤塚 685-13,飲食 / 飲食店・喫茶店
Arzonie ITALIA アルゾーニ・イタリア,つくば市 赤塚 703-3,飲食 / 飲食店・喫茶店
つくばきくらげ販売 つくばきくらげ販売,つくば市 赤塚607-25,飲食 / 飲食店・喫茶店
ばんどう太郎 学園南店 ,つくば市 赤塚627-2,飲食 / 飲食店・喫茶店
ターブル ,つくば市 千現 2-1-6,飲食 / 飲食店・喫茶店
コーヒーファクトリー ,つくば市 千現2丁目13番地の1,飲食 / 飲食店・喫茶店
TRATTORIA  Sereno トラットリア セレーノ,つくば市 倉掛 1034-1 TRATTORIA Sereno,飲食 / 飲食店・喫茶店
焼肉レストラン沙羅峰 焼肉レストラン沙羅峰,つくば市 倉掛1217-3,飲食 / 飲食店・喫茶店
みょうり ,つくば市 大井 1438-2,飲食 / 飲食店・喫茶店
和食かつら 和食かつら,つくば市 大井1576-2,飲食 / 飲食店・喫茶店
レストラン Maru レストランMaru,つくば市 大角豆2012-811,飲食 / 飲食店・喫茶店
もっくん珈琲 もっくん珈琲,つくば市 大曽根 3439-1,飲食 / 飲食店・喫茶店
ピザ&パスタ ビビアーナ つくば大穂店,つくば市 大曽根 3507,飲食 / 飲食店・喫茶店
シーフードレストランメヒコ つくばフラミンゴ館,つくば市 大曽根3362,飲食 / 飲食店・喫茶店
メヒコ つくば店 メヒコ つくば店,つくば市 大曽根3362,飲食 / 飲食店・喫茶店
ラーメンガキ大将 ラーメンガキ大将谷田部店,つくば市 谷田部 1224,飲食 / 飲食店・喫茶店
定食一番 ,つくば市 谷田部 204-1,飲食 / 飲食店・喫茶店
カラオケ絆 ,つくば市 谷田部 204-1,飲食 / 飲食店・喫茶店
YATABE COFFEE YATABE COFFEE,つくば市 谷田部 2417-45,飲食 / 飲食店・喫茶店
ウッディーキャロット&モモコハウス ,つくば市 谷田部 2774-1,飲食 / 飲食店・喫茶店
占いカフェ*パナシーア Panacea,つくば市 谷田部 2958 高野テナント4号室,飲食 / 飲食店・喫茶店
鮨処 修 ,つくば市 竹園 1-12-1 新興ビル1階,飲食 / 飲食店・喫茶店
エヌズカフェ エヌズカフェ,つくば市 竹園 1‐3‐1,飲食 / 飲食店・喫茶店
アジアン酒場 門星 Monstar ,つくば市 竹園 1-9-2,飲食 / 飲食店・喫茶店
パエリアダイニング ポコ・ロコ パエリアダイニング ポコ・ロコ,つくば市 竹園 1-9-2 デイズタウン1F,飲食 / 飲食店・喫茶店
タイ屋台 つくばパクチー ,つくば市 竹園 1-9-2 デイズタウンB1,飲食 / 飲食店・喫茶店
つくばパンケーキ88カフェ ,つくば市 竹園 1-9-2 デイズタウンつくば1F,飲食 / 飲食店・喫茶店
中華そば潤ちゃん 中華そば潤ちゃん,つくば市 竹園 2-10-1 第四芝原ビル,飲食 / 飲食店・喫茶店
中津からあげ総本家もり山つくば竹園店 中津からあげ(発祥の店)総本家もり山つくば竹園店,つくば市 竹園 2-6-1,飲食 / 飲食店・喫茶店
やまと豚専門店とんとん やまと豚専門店とんとん,つくば市 竹園 2-7-27,飲食 / 飲食店・喫茶店
DOCTOR PHO つくばてん,つくば市 竹園 2丁目11番地15,飲食 / 飲食店・喫茶店
インド ネパール料理ヒマラヤ インドネパール料理ヒマラヤ,つくば市 竹園 2丁目6番1号,飲食 / 飲食店・喫茶店
かくれ居酒屋 大将別館 かくれ居酒屋 大将別館,つくば市 竹園 2丁目7番地20,飲食 / 飲食店・喫茶店
モッツバー 高の家 つくば店 モッツバー 高の家 つくば店,つくば市 竹園1-9-2,飲食 / 飲食店・喫茶店
季彩かがり 季彩かがり,つくば市 竹園1-9-2 デイズタウンB1F,飲食 / 飲食店・喫茶店
パークダイナー つくばPARKDINER,"つくば市 竹園1-9-2, DAYZTOWN B1",飲食 / 飲食店・喫茶店
とよ長 とよ長,つくば市 竹園2-3-7,飲食 / 飲食店・喫茶店
活龍 活龍甲殻堂,つくば市 筑穂 1-10-13 H&YII3号,飲食 / 飲食店・喫茶店
とりだけ とりだけ つくば店,つくば市 筑穂 1-10-27 H&Y101,飲食 / 飲食店・喫茶店
活龍 活龍本店,つくば市 筑穂 1-10-27 H&Y1F,飲食 / 飲食店・喫茶店
鉄板食堂 肉の番人 ,つくば市 筑穂 1-1-13 KMS-SIII101,飲食 / 飲食店・喫茶店
EARTH CHICKEN&FIRE ,つくば市 筑穂 1ー14ー13,飲食 / 飲食店・喫茶店
Coocy カレーライス専門店Coocy,つくば市 筑穂 1-2-1 OTNビル101,飲食 / 飲食店・喫茶店
Last Waltz ,つくば市 筑穂 1丁目16-1 NTビル102,飲食 / 飲食店・喫茶店
COFFEE BAR stove COFFEE BAR stove,つくば市 中山 44-1 シーズガーデン103,飲食 / 飲食店・喫茶店
もつ街道 ,つくば市 長高野 1064-2,飲食 / 飲食店・喫茶店
粉とクリーム HALAL カフェ 筑波大学第3エリア,つくば市 天王台1-1-1,飲食 / 飲食店・喫茶店
Delica kitchen ruru デリカキッチンルル,つくば市 天久保 1-10-18 リッチモンド1番街102,飲食 / 飲食店・喫茶店
千里香 千里香 つくば,つくば市 天久保 1-10-18 リッチモンド一番街207,飲食 / 飲食店・喫茶店
喜楽商店 ,つくば市 天久保 1-10-4 ジョイプラザ天久保5号室,飲食 / 飲食店・喫茶店
Indian Nepali Restaurant Namaste Kitchen インドネパールレストラン ナマステキッチン,つくば市 天久保 1-10-4 ジョイプラザ天久保6号,飲食 / 飲食店・喫茶店
